year,total_land_area
1960,581.5
1961,581.5
1962,581.5
1963,581.5
1964,581.5
1965,581.5
1966,581.5
1967,583
1968,584.3
1969,585.3
1970,586.4
1971,586.4
1972,586.4
1973,586.4
1974,587.6
1975,596.8
1976,602
1977,616.3
1978,616.3
1979,617.8
1980,617.8
1981,617.9
1982,618.1
1983,618.1
1984,620.2
1985,620.5
1986,621.7
1987,622.6
1988,625.6
1989,626.4
1990,633
1991,639.1
1992,641
1993,641.4
1994,646.1
1995,647.5
1996,647.5
1997,647.8
1998,648.1
1999,659.9
2000,682.7
2001,682.3
2002,687.1
2003,693.4
2004,696.2
2005,697.9
2006,699.5
2007,705.1
2008,710.2
2009,710.3
2010,712.4
2011,714.3
2012,715.8
2013,716.5
2014,718.9
2015,719.1
2016,719.7
2017,721.5
2018,721.5